Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit,calliv,putiv,meaniv,callvol,putvol,calloi,putoi
F,11.41,F180119P00019750,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,19.75,0,794,0.6583,-0.7823,4.9148,-0.3677,2.6773,8.9,9.0,0.1,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F180119C00021750,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,21.75,0,2003,0.3616,0.0184,1.3713,-0.0321,0.4103,0.01,0.01,0.0,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F180119P00021750,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,21.75,0,278,0.7261,-0.7945,4.3075,-0.3914,2.5882,10.0,10.1,0.63,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F180119C00022000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,22.0,0,1671,0.367,0.0182,1.3388,-0.0323,0.4065,0.01,0.01,0.0,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170623P00019000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,19.0,0,0,2.3029,-0.7321,5.1062,-4.8181,0.9225,8.4,7.8,-0.52,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F180119P00022000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,22.0,0,67,1.0452,-0.6441,3.9192,-0.7503,3.3897,11.16,11.16,0.0,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F180119P00024750,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,24.75,0,582,0.7927,-0.8177,3.6676,-0.3951,2.4057,13.85,13.95,0.1,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00016000,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,16.0,0,0,0.6969,-0.9019,6.3392,-0.5389,0.6775,4.7,4.8,0.18,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00016000,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,16.0,0,0,0.5295,0.0385,4.0311,-0.2018,0.3273,0.03,0.0,-0.03,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714P00015500,put,2017-07-14 00:00:00,2017-06-01 00:00:00,43,15.5,0,0,1.0435,-0.7503,7.7712,-1.5001,1.2436,4.6,4.2,-0.22,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
F,11.41,F170714C00015500,call,2017-07-14 00:00:00,2017-06-01 00:00:00,43,15.5,0,0,0.6567,0.1065,7.1448,-0.5503,0.7195,0.12,0.0,-0.12,0.2104,0.2364,0.2234,119041,84448,1239449,1241535
